"log_sqft_living","bedrooms","bathrooms","grade","waterfront"
7.48436864328613,3,1.75,7,0
8.13153071060425,3,2.5,10,0
7.55485852104068,3,2.75,7,0
7.61085279039525,3,2,7,0
7.36518012602101,3,1.75,7,0
7.20042489294496,2,1.75,5,0
7.8935720735049,4,2.5,9,0
7.8935720735049,3,2.5,8,0
7.22256601882217,3,2,7,0
7.35244110024358,3,1.75,7,0
7.67786350067821,3,1.75,7,0
7.20042489294496,3,1.5,7,0
8.26359043261732,4,2.5,10,0
7.85941315469358,4,2.25,8,0
7.02108396428914,3,2.5,8,0
7.58578882173203,5,2.75,7,0
7.1066061377273,3,1,6,0
7.57558465155779,3,1.5,7,0
7.20785987143248,2,1,7,0
7.4205789054108,3,2.5,7,0
7.77485576666552,4,3,7,0
7.79975331828725,4,3,7,0
6.95654544315157,2,1.5,7,0
8.0487882835342,4,2.75,9,0
8.31630024903685,5,3,10,0
7.30653139893951,4,1.75,8,0
7.54960916515453,3,2.5,8,0
7.1929342212158,4,1,6,0
7.70975686445416,3,2.25,8,0
7.40853056689463,3,1.75,7,0
7.08170858610557,3,1,6,0
7.6685611080159,3,2.5,8,0
7.68708015578313,3,2.5,7,0
6.96602418710611,3,1,7,0
7.43248380791712,3,2.5,8,0
7.58578882173203,4,2,7,0
7.67322312112171,3,2.5,8,0
7.55485852104068,3,2.5,7,0
7.20785987143248,3,1.75,7,0
6.75693238924755,3,1,6,0
7.57044325205737,3,2.5,8,0
6.9177056098353,3,1,7,0
7.17011954344963,3,1.5,7,0
6.8134445995109,3,1,6,0
7.81601383915903,4,1.75,9,0
7.79975331828725,3,2.5,8,0
6.9177056098353,3,1,7,0
6.80239476332431,2,0.75,6,0
7.74066440191724,6,3,7,0
7.34601020991329,4,2.25,8,0
7.14677217945264,3,2.25,8,0
7.71423114484909,4,2.5,9,0
7.90617884039481,3,2.5,9,0
7.4500795698075,4,2.75,8,0
6.74523634948436,2,1,6,0
8.10167774745457,5,3,9,0
7.71868549519847,3,2.5,8,0
8.26873183211774,2,2.25,8,0
7.18538701558042,2,1.5,8,0
7.9229859587112,4,2.5,10,0
7.46737106691756,3,2,7,0
7.75362354655975,4,2.25,8,0
7.70526247486633,3,2.25,8,0
7.61085279039525,3,2.25,7,0
7.13089883029635,3,2.25,7,0
7.31986492980897,2,2,8,0
7.4500795698075,4,2.25,7,0
7.26542972325395,3,1,7,0
7.29979736675816,3,2.5,7,0
7.27931883541462,2,1.75,7,1
7.73193072194849,4,2.75,7,0
7.98616486033273,6,2.75,8,0
6.90775527898214,2,1,6,0
7.81601383915903,3,1.5,7,0
8.23217423638394,5,4,10,0
7.70526247486633,3,2,7,0
7.58578882173203,4,1,7,0
8.25062008217469,3,3.5,10,0
8.39162996844089,6,2.5,9,0
7.26542972325395,3,1.75,7,0
6.72142570079064,2,1,6,0
7.26542972325395,2,1,7,0
7.17011954344963,3,1,6,0
6.93731408122368,2,1,7,0
7.91571319938212,3,2.5,9,0
8.20248244657654,4,2.5,9,1
6.5792512120101,2,1.5,6,0
7.60589000105312,4,2,7,0
7.35244110024358,3,1.75,6,0
7.50108212425987,3,2,7,0
8.11969625295725,4,2.5,9,0
7.31986492980897,3,2.25,8,0
7.24422751560335,3,1,7,0
7.45587668749182,3,2.5,7,0
7.25841215059531,2,2,7,0
7.76641689801966,4,1.75,7,0
7.36518012602101,3,1.75,7,0
7.11476944836646,3,1,7,0
7.80791662892641,4,2.5,8,0
7.41457288135059,3,1,8,0
7.14677217945264,3,1.75,7,0
7.64969262371151,3,2.25,10,0
6.64639051484773,2,1,5,0
6.63331843328038,1,0.75,5,1
7.43838353004431,4,2.5,7,0
7.02108396428914,3,1,7,0
6.97541392745595,2,1,7,0
7.63530388625941,3,2.5,8,0
8.52714352226941,4,3.25,11,0
8.57734711423598,4,4.75,11,0
6.94697599213542,2,1,7,0
7.43838353004431,3,1,7,0
7.17011954344963,3,1,7,0
6.98471632011827,3,1.75,7,0
7.88344635413774,3,2.5,8,0
7.73630709654828,3,2,8,0
8.24800570160062,4,2.75,9,0
7.7007477945118,4,2.5,8,0
7.77904864492556,3,1.75,6,0
7.86326672400957,4,1.75,7,0
6.75693238924755,2,1,6,0
8.25062008217469,5,3,9,0
8.1605182474775,4,2.5,9,0
7.79152281915073,3,3,8,0
7.90838715929004,4,2.5,9,0
7.82404601085629,5,2.25,7,0
7.4205789054108,3,1.75,7,0
7.97246601597457,5,2.25,8,0
7.40245152081824,2,1,7,0
7.54433210805369,4,2.5,7,0
7.98956044933387,4,1.75,8,0
7.67786350067821,4,2.5,9,0
8.09559870137819,4,3,8,0
7.58578882173203,3,2,8,0
8.11969625295725,4,2.5,10,0
7.18538701558042,3,2,7,0
7.88231491898027,3,2.5,8,0
7.61579107203583,3,1.5,7,0
7.37148929521428,3,1.75,7,0
8.422882511945,4,5,10,1
7.79975331828725,3,2.5,8,0
7.57044325205737,3,2.5,7,0
7.62070508683826,3,2.5,8,0
7.69621263934641,3,2.25,7,0
7.56008046502183,3,1.75,8,0
7.49554194388426,4,2.75,8,0
7.68708015578313,4,2.25,8,0
6.9177056098353,2,1,6,0
8.10772006191053,4,2.75,8,0
7.77064523412918,4,2.5,8,0
7.41457288135059,5,1.75,6,0
8.20248244657654,5,2.5,10,0
8.36404201192206,4,3.25,11,0
8.36404201192206,4,3.25,11,0
7.57558465155779,4,2.25,8,0
7.85941315469358,3,2,8,0
7.56527528189893,3,2.5,8,0
7.29301767977278,2,1,7,0
6.68461172766793,4,1,6,0
8.05515773181968,5,2.75,9,0
7.61579107203583,3,2.25,8,0
7.27931883541462,3,2,7,0
7.31986492980897,3,1.75,7,0
7.12286665859908,2,1,6,0
7.12286665859908,2,1,6,0
8.01631789850341,3,2.5,9,0
7.62559507213245,4,2,9,0
6.90775527898214,3,1,7,0
7.77064523412918,3,2.25,9,0
7.9373746961633,4,3.5,9,0
7.71423114484909,6,1.75,7,0
7.50108212425987,3,2,8,0
6.97541392745595,2,1,7,0
7.82003798945875,4,2,9,0
7.58069975222456,4,2.5,7,0
7.98275770201111,3,2.75,9,0
7.31986492980897,4,2,7,0
7.25841215059531,3,1.75,7,0
7.46164039220858,3,1.75,7,0
7.84776253747361,4,1.75,7,0
8.01961279440027,4,3.5,9,0
7.82404601085629,3,1.75,8,0
7.15070145759253,4,1.75,6,0
7.85554467791566,4,2.5,8,0
6.90775527898214,4,1,6,0
6.90775527898214,4,1,6,0
6.97541392745595,2,1,6,0
7.23705902612474,3,2,7,0
7.82404601085629,4,1.75,7,0
6.32793678372919,1,0.75,4,0
7.72753511047545,4,2.75,9,0
7.54960916515453,3,1,7,0
6.89770494312864,2,1,7,0
7.34601020991329,4,1.5,7,0
7.69621263934641,4,1.75,7,0
7.55485852104068,4,2.5,7,0
7.46737106691756,4,1,7,0
7.1929342212158,3,1,7,0
7.79975331828725,3,2.5,9,0
7.40245152081824,3,2.5,7,0
7.9229859587112,5,2.5,9,0
7.50659178007084,4,2.5,7,0
7.65444322647011,3,2.5,8,0
8.01961279440027,5,2.5,8,0
7.51752085060303,3,2,7,0
8.00302866638473,4,2.5,9,0
8.16621626859214,4,2.5,10,0
7.79975331828725,4,2.75,8,0
7.64491934495886,4,3,7,0
7.26542972325395,3,2.25,7,0
7.68708015578313,4,2.25,7,0
7.68708015578313,4,2.25,7,0
8.14612951002541,5,3,9,0
7.27931883541462,3,2.25,7,0
8.0802374162167,4,2.5,10,0
7.40245152081824,3,1.75,7,0
7.37148929521428,3,3,7,0
7.61085279039525,4,2,7,0
7.17011954344963,3,1.5,7,0
7.22983877815125,2,1.5,6,0
8.3039999709552,3,3,10,0
7.66387725870347,4,2.25,7,0
7.84384863815247,4,2.25,8,0
8.47637119689598,5,3.5,11,0
7.82803803212583,4,2.25,8,0
7.25134498337221,3,2,7,0
7.40853056689463,3,2,7,0
7.65917136766606,4,2.5,8,0
7.62070508683826,4,1.5,7,0
7.34601020991329,4,1,7,0
7.59085212368858,3,2.75,9,0
7.37775890822787,3,2.5,8,0
8.10167774745457,4,2.75,8,0
8.25322764558177,4,2.5,10,0
7.1066061377273,2,1,7,0
7.90838715929004,5,2.25,7,0
7.57044325205737,4,2,8,0
7.67786350067821,3,2.5,7,0
7.33302301438648,4,1.75,7,0
7.44424864949671,3,3.5,8,0
8.22416351263786,4,1.75,7,0
6.84587987526405,2,1,7,0
7.46737106691756,3,2.5,8,0
7.50659178007084,4,2.5,7,0
7.31986492980897,3,3.25,9,0
7.16239749735572,3,2,8,0
7.35883089834235,3,2,7,0
7.56527528189893,4,2.5,8,0
7.95155933115525,4,3.5,10,0
7.34601020991329,3,2.5,7,0
6.72503364216684,2,1,5,0
8.00302866638473,3,2.5,8,0
7.60090245954208,3,2.5,9,0
7.77904864492556,4,1.5,7,0
7.97590836016554,3,1.75,7,0
7.6425241342329,4,1.75,7,0
7.69621263934641,4,2.25,7,0
7.52833176670725,3,2.25,8,0
8.71111388405354,5,4.25,12,0
6.85646198459459,2,1,7,0
7.37775890822787,3,1.75,7,0
7.71868549519847,3,2.5,8,0
7.73193072194849,3,2.5,8,0
6.84587987526405,2,1,7,0
7.33302301438648,3,2.5,7,0
7.69165682281055,5,1.75,7,0
7.7621706071382,3,2,8,0
7.27239839257005,4,2,7,0
7.69621263934641,3,2.5,8,0
7.73630709654828,4,3,9,0
8.3039999709552,4,3,11,0
7.86710550031674,4,2.5,8,0
7.30653139893951,3,2.5,7,0
7.80384330353877,4,2.5,8,0
7.44424864949671,4,2.5,9,0
8.49084921607663,5,2.5,10,0
8.0487882835342,3,2.5,10,0
7.14677217945264,2,2,8,0
7.65917136766606,3,1.75,8,0
7.4205789054108,3,1.5,7,0
7.63530388625941,3,2.25,7,0
7.25841215059531,2,1,8,0
7.13089883029635,3,1.5,6,0
6.84587987526405,3,1,7,0
7.56008046502183,3,1.75,7,0
8.17329343896623,3,2.5,10,0
7.13886699994552,3,2,7,0
7.75790620835175,5,2.5,7,0
7.85941315469358,3,2.25,8,0
8.28652137368124,3,4.5,10,0
7.1066061377273,3,1.75,7,0
7.24422751560335,3,1,6,0
7.76641689801966,3,2.75,8,0
7.53369370984863,3,1.75,8,0
7.94803199063728,3,2.5,9,0
7.72312009226633,3,2.5,8,0
7.58578882173203,3,3,9,1
8.0519780789023,4,2.5,9,0
7.12286665859908,3,1.75,7,0
8.14612951002541,4,3.5,10,0
7.85166117788927,3,2.25,8,0
7.31986492980897,3,2,7,0
7.77904864492556,4,2.25,9,0
6.88755257166462,3,1,6,0
6.06378520868761,1,0.75,4,0
7.29979736675816,3,1.75,7,0
7.52294091807237,4,2.5,8,0
7.72753511047545,3,2,7,0
7.50108212425987,3,2.5,8,0
7.38398945797851,2,2,6,0
8.25322764558177,3,4.25,10,0
8.32117830749028,4,2.75,9,0
8.34045601291618,4,3.25,11,0
8.1285852003745,4,2.75,9,0
7.54433210805369,4,2.25,7,0
7.38398945797851,3,2.5,9,0
6.95654544315157,3,1.5,7,0
6.44571981938558,2,1,5,0
7.97590836016554,4,2.75,8,0
7.43838353004431,4,1.75,7,0
7.57558465155779,3,2.5,9,0
8.00302866638473,3,3,8,0
7.20785987143248,3,1.5,7,0
8.48879371689454,4,3.25,9,0
7.67786350067821,4,2.5,8,0
8.48879371689454,6,3.5,11,0
6.79122146272619,2,2,6,0
7.94093976232779,4,2.75,9,0
8.13153071060425,5,2.5,8,0
7.36518012602101,4,1.5,7,0
7.4265490723973,3,2,7,0
7.17011954344963,3,1.75,7,0
7.94449216393216,5,2.5,7,0
7.31986492980897,3,2,7,0
7.11476944836646,2,2.5,8,0
7.65444322647011,4,2,9,0
8.03268487596762,3,2.75,7,0
7.30653139893951,2,1.5,7,0
7.65917136766606,3,2.5,7,0
8.06463647577422,4,2.5,9,0
7.30653139893951,2,1,7,0
7.56527528189893,3,2,8,0
7.92660259918138,4,2.5,10,0
7.4205789054108,3,1.5,7,0
7.1929342212158,2,1.75,7,0
7.09837563859079,3,1,7,0
7.08170858610557,3,1,7,0
7.33953769540767,2,1,7,0
8.30152165494073,4,3.75,10,0
7.79564653633459,4,1.75,8,0
7.86326672400957,4,2.5,8,0
8.39162996844089,5,3.5,9,0
7.1929342212158,4,1,7,0
7.54960916515453,3,1.75,7,0
7.00306545878646,2,1,7,0
7.59085212368858,3,1,6,0
7.78322401633604,3,2.5,9,0
8.46800294722547,4,2.25,9,0
8.06463647577422,4,3.25,10,0
7.08170858610557,3,1,6,0
6.44571981938558,2,1,6,0
7.83597458172157,5,3,8,0
7.43248380791712,4,1.5,5,0
6.84587987526405,2,1,6,0
7.12286665859908,2,2,7,0
8.01961279440027,4,2.5,7,0
8.70781355102489,6,5,11,0
7.37148929521428,4,1,6,0
7.82404601085629,3,1.75,9,0
7.48436864328613,3,2.5,7,0
7.2152399787301,2,1.5,7,0
8.46379241468912,4,3.25,10,0
6.9177056098353,3,1.5,7,0
6.94697599213542,3,1,6,0
7.38398945797851,3,2.25,7,0
7.35883089834235,4,1.75,7,0
7.31986492980897,2,2,7,0
7.2152399787301,3,2,7,0
7.58578882173203,4,2.5,8,0
8.59470963384407,3,2.5,12,1
7.35244110024358,4,2.5,7,0
7.74932246466036,4,1.75,8,0
7.65917136766606,3,2.25,8,0
7.65917136766606,3,2.25,8,0
8.11671562481911,4,2.5,11,0
7.77485576666552,4,2.5,10,0
6.97541392745595,2,2,9,0
7.74066440191724,4,2.75,7,0
7.18538701558042,2,1,6,0
7.68708015578313,3,1.75,7,0
8.38480400337049,3,3,10,0
7.4899708988348,3,1.75,7,0
6.62007320653036,2,1,6,0
7.17011954344963,3,1.5,7,0
8.00302866638473,4,2.5,9,0
8.4424696452203,7,3.5,11,0
7.24422751560335,4,1,7,0
7.91935619066062,6,1.75,8,0
7.62559507213245,4,2.5,7,0
7.70975686445416,4,3,7,0
7.75790620835175,4,2.25,8,0
7.96206730875367,3,2.5,9,0
8.32360844234357,4,2.5,10,0
7.64012317269536,3,1.75,7,0
7.51752085060303,3,2.5,7,0
7.07326971745971,3,1,6,0
7.67786350067821,5,2.75,7,0
7.07326971745971,3,1,8,0
7.05617528410041,2,0.75,6,0
7.51207124583547,4,2.5,7,0
8.07090608878782,4,4,10,0
7.84776253747361,5,3,7,0
7.84384863815247,5,2.75,8,0
7.1929342212158,3,1.75,7,0
7.1066061377273,2,1,7,0
7.49831587076698,3,2.5,7,0
8.70781355102489,4,4,9,0
7.74932246466036,4,2.5,8,0
7.23273313617761,3,1,6,0
7.90838715929004,3,2.5,9,0
7.50659178007084,3,1.5,7,0
7.66387725870347,2,2.25,7,0
7.63046126178363,4,2.25,7,0
7.25841215059531,4,1.75,7,0
7.31986492980897,3,1.75,7,0
7.67786350067821,3,2.5,8,0
8.06463647577422,3,2.5,11,0
7.65444322647011,3,2.25,8,0
7.63046126178363,3,2,8,0
7.51207124583547,3,1.5,7,0
7.50659178007084,3,1.75,7,0
7.38398945797851,3,2.5,8,0
7.48436864328613,4,2.5,7,0
7.51752085060303,4,2.5,7,0
7.28619171470238,3,1.75,7,0
7.24422751560335,2,2.5,8,0
8.12266802334641,3,2.5,9,0
8.18590748148232,4,3,9,0
8.07090608878782,4,2.25,9,0
7.4205789054108,2,1.75,8,0
7.79152281915073,4,2,9,0
7.26542972325395,3,1.75,7,0
7.27239839257005,3,1.75,7,0
7.27931883541462,3,2.25,7,0
8.17470288246946,4,2.75,8,0
7.14677217945264,2,3,8,0
6.84587987526405,2,1,7,0
7.4205789054108,3,2,7,0
8.03915739047324,4,3.5,8,0
7.00306545878646,2,2.5,7,0
7.53369370984863,3,2,8,0
7.56527528189893,3,2.5,8,0
7.83991936001258,3,2.75,9,0
7.15461535691366,3,1.75,7,0
7.50659178007084,3,2.25,7,0
7.30653139893951,3,2.25,7,0
7.539027055824,3,2.5,8,0
7.13089883029635,3,1,7,0
7.27239839257005,3,2,8,0
7.56008046502183,3,2.5,7,0
7.63046126178363,3,2.5,7,0
7.09837563859079,3,1.5,7,0
7.4730690880322,2,1.75,7,0
6.89770494312864,3,1,6,0
6.86693328446188,3,1,6,0
7.41457288135059,3,2.5,9,0
7.54960916515453,3,1.75,8,0
7.14677217945264,3,2.25,7,0
8.08641027532378,4,2.25,9,0
6.86693328446188,3,1,6,0
7.1929342212158,2,1.75,7,0
7.64012317269536,3,1.75,7,0
7.89729647259588,3,2.5,8,0
6.79122146272619,2,1,7,0
6.97541392745595,3,1.75,7,0
7.09007683577609,3,1,6,0
7.2152399787301,3,1.5,7,0
7.62559507213245,3,2,8,0
8.00636756765025,3,1.5,9,0
7.17011954344963,2,2,7,0
7.71868549519847,4,2.5,7,0
8.22684089040858,5,2.75,8,0
7.41457288135059,3,2.5,9,0
7.76641689801966,3,2.5,7,0
7.4730690880322,3,1.75,7,0
7.4265490723973,3,1.75,7,0
7.18538701558042,3,1.75,7,0
6.76849321164863,1,1,6,0
7.13886699994552,4,1,6,0
6.90775527898214,3,1,6,0
7.61085279039525,4,1.75,8,0
7.56008046502183,3,1,7,0
7.67322312112171,3,2,7,0
7.29301767977278,3,2.5,7,0
8.06463647577422,3,2.5,10,0
8.27639470486331,3,2.5,8,1
6.89770494312864,3,1,6,0
7.92660259918138,4,3.5,8,0
7.13089883029635,3,1.5,7,0
7.03878354138854,3,1.75,7,0
7.71868549519847,4,2.5,7,0
7.40245152081824,3,2.5,7,0
7.13489085156588,3,1.5,7,0
7.16239749735572,3,1,7,0
7.17011954344963,3,1.75,7,0
7.1066061377273,3,1.5,8,0
7.87473912517181,4,2.5,8,0
7.57558465155779,3,1.5,8,0
8.05832730658096,4,3.25,9,0
7.34601020991329,3,1.75,7,0
7.43838353004431,4,2.5,7,0
7.82803803212583,4,2.75,8,0
7.49554194388426,4,1.75,8,0
7.49554194388426,3,1.75,8,0
7.53369370984863,3,2.25,7,0
6.9177056098353,2,1,7,0
7.02108396428914,2,1.5,6,0
7.64491934495886,3,1,8,0
8.38251828808963,4,3.5,11,0
7.27239839257005,3,2,7,0
7.85554467791566,4,3,8,0
8.06777619577889,4,2.5,10,0
7.77485576666552,4,3.5,7,0
7.25841215059531,4,1,7,0
8.00302866638473,5,2.75,9,0
7.8935720735049,3,2.5,8,0
7.91205688817901,4,2.5,7,0
7.1066061377273,3,1,6,0
7.3132203870903,3,1,7,0
7.51207124583547,3,1.75,8,0
8.42726848388825,5,2.5,10,0
7.81197342962202,4,2.25,8,0
6.68461172766793,2,1,6,0
7.97246601597457,4,2.5,9,0
7.25134498337221,3,2,7,0
7.94803199063728,5,2.5,8,0
7.4265490723973,4,1.75,7,0
7.4730690880322,3,1.75,7,0
7.71423114484909,4,2.25,8,0
7.22983877815125,2,1,5,0
6.7093043402583,2,1,6,0
7.68708015578313,4,2,6,0
7.24422751560335,4,2,7,0
6.77992190747225,2,1,5,0
6.96602418710611,2,1,6,0
7.33302301438648,3,1.75,7,0
7.81601383915903,4,1.75,8,0
7.30653139893951,3,1.75,6,0
8.20521842639541,3,2.5,9,0
7.75790620835175,4,2.5,8,0
7.27931883541462,3,1.75,7,0
7.7007477945118,4,2.5,9,0
7.02997291170639,4,1,7,0
7.34601020991329,5,1.75,7,0
7.44424864949671,4,1.75,7,0
6.9177056098353,3,1.5,7,0
7.88608140177575,6,2.25,7,0
7.88608140177575,6,2.25,7,0
7.17011954344963,3,2,7,0
7.4205789054108,3,2.5,7,0
6.86693328446188,2,1,7,0
8.44891435066294,4,3.25,12,0
7.6685611080159,3,2.5,8,0
7.83201418050547,5,3,8,0
7.40853056689463,3,1.5,7,0
7.27239839257005,2,1.75,8,0
6.95654544315157,2,1,7,0
7.29301767977278,3,1.75,7,0
8.34995727204032,4,2.25,11,0
7.58578882173203,3,1.75,8,0
7.33953769540767,3,2.25,7,0
7.64491934495886,3,2.75,8,0
7.77485576666552,3,2,8,0
7.67600993202889,4,2.5,9,0
7.63530388625941,4,2.25,8,0
7.55485852104068,3,1,8,0
7.56008046502183,3,1.75,8,0
8.13153071060425,3,3.25,9,0
7.24422751560335,3,2,7,0
7.7007477945118,4,2.5,8,0
7.0647590277918,2,1.75,6,0
7.64969262371151,3,2,9,0
7.05617528410041,3,1,7,0
7.3132203870903,3,1,6,0
7.98616486033273,4,2.5,8,0
7.60589000105312,4,1.75,7,0
7.68248244653451,3,2.5,7,0
7.26542972325395,3,1.5,7,0
7.31986492980897,4,1.5,7,0
7.0475172213573,3,1,6,0
7.67322312112171,3,1.75,8,0
7.22256601882217,3,1,7,0
7.77485576666552,2,2.5,8,0
7.22256601882217,3,1.75,7,0
7.37775890822787,3,1.75,7,0
8.22951111896446,5,3.5,9,0
8.28147085789517,2,2.25,10,0
7.78322401633604,4,2.25,9,0
7.94803199063728,5,1.5,8,0
7.79975331828725,4,2.5,8,0
7.08170858610557,3,2.25,8,0
7.24422751560335,3,2,7,0
7.91205688817901,4,2.75,7,0
7.77904864492556,3,2.75,7,0
7.63046126178363,3,2.25,8,0
7.82003798945875,4,2.25,8,0
7.00306545878646,3,1.75,7,0
7.79564653633459,4,2.5,8,0
8.06148686687133,3,2.5,10,0
7.87853419614036,4,2.5,8,0
7.02997291170639,3,1.5,7,0
7.57044325205737,5,2,7,0
7.00306545878646,2,2,7,0
7.09007683577609,3,1,7,0
7.60090245954208,3,2.25,8,0
7.54433210805369,3,2.5,8,0
7.55485852104068,4,2,7,0
7.90470391387375,4,2.5,9,0
8.48879371689454,5,4.25,10,0
7.13089883029635,3,1,7,0
7.37148929521428,3,1.75,6,0
7.12286665859908,3,1.5,8,0
7.60090245954208,4,1,7,0
8.19146305132693,6,2.75,8,0
7.56527528189893,5,1.75,8,0
7.15461535691366,2,1,7,0
7.64491934495886,4,2,7,0
7.57044325205737,3,1.5,7,0
7.49554194388426,3,2.5,7,0
7.45587668749182,3,1.75,7,0
7.94093976232779,4,2.5,9,0
8.17470288246946,4,3.5,11,0
7.1929342212158,4,1,6,0
6.62007320653036,2,1,6,0
7.4730690880322,4,1,7,0
8.07090608878782,4,2.5,9,0
7.46164039220858,4,2,8,0
7.64969262371151,3,2.5,8,0
8.35936910622267,4,3.5,12,0
7.20042489294496,3,2,7,0
8.06777619577889,4,2.5,9,0
7.39633529380081,3,2.5,8,0
