"bedrooms","bathrooms","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","zipcode","lat","long","sqft_living15","sqft_lot15","log_sqft_living","age","log_sqft_lot","age_renov"
4,2.5,2,0,0,4,9,2290,0,98007,47.6194,-122.151,2680,13685,7.73630709654828,36,9.50420330350305,0
3,1.75,1,0,0,4,7,1250,0,98115,47.6796,-122.301,970,5100,7.13089883029635,64,8.69332898912311,0
3,2.5,1,1,2,5,9,2165,588,98070,47.4041,-122.451,2680,72513,7.92044650514261,64,11.0822194689963,0
3,1,1,0,0,3,7,1190,0,98148,47.4258,-122.322,1190,9364,7.08170858610557,62,9.12685006147716,0
5,2.5,1,0,0,4,8,1640,1510,98056,47.4934,-122.189,1990,9133,8.05515773181968,51,9.11975899374495,0
3,1.75,1,0,0,4,7,1000,410,98117,47.6808,-122.384,1410,4080,7.25134498337221,67,8.31385226739821,0
2,1.75,1,0,0,3,7,990,990,98117,47.6989,-122.369,1480,6738,7.59085212368858,36,9.05368656193081,0
5,2.25,1.5,0,0,3,8,2130,600,98105,47.6571,-122.281,2730,6000,7.91205688817901,90,8.69951474821019,0
4,2.5,2,0,0,3,9,2830,0,98105,47.6597,-122.29,1950,5000,7.94803199063728,22,8.51719319141624,0
4,2.5,2,0,0,3,7,2250,0,98042,47.3663,-122.114,2250,4500,7.71868549519847,9,8.41072094690572,0
3,2.5,2,0,0,3,8,2420,0,98042,47.3663,-122.122,2690,4750,7.79152281915073,14,8.46589989702869,0
5,3.25,2,0,4,4,8,3250,0,98008,47.588,-122.116,2960,11044,8.08641027532378,49,9.57094757444252,0
4,3,2,0,0,3,8,1850,0,98059,47.5059,-122.149,2270,8542,7.52294091807237,26,9.20793748735987,0
3,2.25,1,0,3,4,8,1590,560,98166,47.4336,-122.339,2570,18900,7.67322312112171,58,9.96340604274737,0
3,1.75,1,0,0,3,7,1260,0,98148,47.4366,-122.335,1290,8750,7.13886699994552,63,9.03598698483141,0
3,1.75,2,0,0,5,8,2519,0,98166,47.4428,-122.344,2500,9500,7.83161727635261,44,9.06992821825944,0
3,1.75,3,0,0,3,8,1540,0,98115,47.6765,-122.32,1580,3090,7.33953769540767,3,6.95081476844258,0
3,2.25,1,0,0,3,7,1110,550,98122,47.6113,-122.297,1440,4080,7.41457288135059,38,8.69951474821019,0
3,2.75,1.5,0,0,5,7,1770,1000,98144,47.5747,-122.304,1440,4000,7.92660259918138,92,8.2451219664786,0
4,2.5,2,0,0,3,10,2720,0,98004,47.5815,-122.192,2750,11049,7.90838715929004,28,9.31009520511317,0
4,2.5,2,0,0,3,7,2240,0,98001,47.3378,-122.257,2221,4557,7.71423114484909,12,8.44419229853175,0
3,1,1,0,0,4,7,1000,0,98042,47.3621,-122.11,1010,12635,6.90775527898214,49,9.39847831409158,0
5,2.25,1,0,0,3,8,1600,1600,98004,47.6303,-122.215,3390,20158,8.07090608878782,52,9.91135651091482,0
5,3.25,1,0,0,4,11,3070,1700,98005,47.6525,-122.16,3530,38917,8.47010158388239,44,10.8216565194221,0
3,2,1,0,0,4,7,1260,0,98034,47.7362,-122.179,1640,4745,7.13886699994552,45,8.63266244122235,0
4,2,1.5,0,0,5,7,2250,500,98125,47.7168,-122.287,1510,7807,7.91935619066062,101,8.96277604612029,0
4,2.5,2,0,0,3,8,2380,0,98038,47.3608,-122.036,2420,5000,7.77485576666552,12,8.51719319141624,0
3,1.75,1,0,0,5,7,1090,700,98042,47.3511,-122.073,1940,50529,7.4899708988348,52,10.8303027078665,0
4,4,2,0,0,4,10,2390,1040,98075,47.5822,-121.987,3240,35020,8.14031554015999,31,10.4660133878876,0
4,1.75,1,0,0,3,7,880,880,98008,47.6034,-122.125,1680,7500,7.4730690880322,61,8.89562962713648,0
3,1,1,0,0,3,7,1040,0,98116,47.5636,-122.394,890,5060,6.94697599213542,76,8.52912176228151,0
3,1,1,0,0,4,7,910,500,98133,47.7073,-122.34,1130,5693,7.25134498337221,61,8.52912176228151,0
4,2.5,2,0,0,3,10,3450,0,98010,47.342,-122.025,3350,39750,8.14612951002541,15,10.5886781633796,0
3,2.5,2,0,0,3,8,2350,0,98038,47.3512,-122.008,2350,5363,7.7621706071382,14,8.53699581871242,0
4,2.5,2,0,0,3,7,1900,0,98038,47.349,-122.031,1870,6405,7.54960916515453,25,8.68084148294457,0
2,1,1,0,0,3,7,1010,1010,98118,47.5474,-122.291,1720,6720,7.61085279039525,69,8.81284343351719,0
3,1.5,1,0,0,3,8,1680,0,98059,47.4811,-122.149,1850,8797,7.4265490723973,53,9.0724566646128,0
3,1,1,0,0,3,6,960,0,98125,47.7264,-122.31,1570,7203,6.86693328446188,65,8.799963219507,0
3,1.5,2,0,0,3,9,1900,240,98119,47.6337,-122.365,2020,4800,7.6685611080159,92,8.1886891244442,0
5,2.25,1.5,0,0,5,7,2660,0,98092,47.2909,-122.189,1590,8165,7.88608140177575,56,9.03598698483141,0
3,3.25,2,0,0,3,9,1980,790,98056,47.5228,-122.199,1900,7349,7.92660259918138,11,8.7448067374019,0
2,2.25,2,0,0,4,7,1610,0,98056,47.518,-122.194,1950,2025,7.38398945797851,38,7.62070508683826,0
2,1.75,2,0,0,3,7,765,265,98136,47.5394,-122.387,1030,1106,6.93731408122368,11,6.97166860472579,0
4,2.5,2,0,0,3,7,1980,0,98023,47.2897,-122.372,1980,7510,7.59085212368858,29,8.9096406024431,0
5,2.75,2,0,0,4,10,3520,0,98199,47.6506,-122.391,2520,6250,8.16621626859214,16,8.75668242126653,0
3,1,1,0,0,3,7,1200,0,98023,47.322,-122.351,1350,10500,7.09007683577609,55,9.25913053614561,0
3,1.5,1,0,0,3,8,1290,290,98117,47.687,-122.386,1570,4500,7.36518012602101,78,8.51719319141624,0
3,1.5,1,0,0,3,8,1290,290,98117,47.687,-122.386,1570,4500,7.36518012602101,78,8.51719319141624,0
4,2.5,1,0,0,3,7,2390,910,98040,47.5873,-122.249,1950,6045,8.10167774745457,71,9.23503298456655,26
3,1.75,1,0,0,3,7,1960,0,98032,47.3576,-122.277,1750,15616,7.58069975222456,50,9.66020506738103,0
4,1.5,1,0,0,4,7,1160,0,98023,47.3036,-122.378,1160,6400,7.05617528410041,42,8.76405326934776,0
3,1.75,1,0,0,5,7,1210,600,98038,47.4109,-121.958,1650,135036,7.50108212425987,37,10.6406516185128,0
3,2.5,2,0,2,3,9,2320,0,98045,47.4838,-121.714,2550,35065,7.74932246466036,25,10.5145294831772,0
3,2.5,1.5,0,0,5,9,1270,800,98102,47.6415,-122.315,2200,4500,7.63530388625941,107,9.49107335533976,0
3,2,1.5,0,0,4,7,1440,540,98117,47.6775,-122.372,1610,3478,7.59085212368858,88,8.15421269491423,0
3,2.25,2,0,0,4,8,2190,0,98077,47.7731,-122.08,2570,47777,7.69165682281055,34,11.5861108688315,0
3,2.5,2,0,0,3,8,2920,0,98004,47.5814,-122.196,2370,8113,7.97933889526233,67,9.00122299239506,7
3,1,1,0,0,3,7,1210,0,98058,47.4375,-122.184,1640,14910,7.09837563859079,63,10.4317306083392,0
3,2.5,1,0,0,4,8,1460,880,98058,47.4431,-122.133,2250,8162,7.75790620835175,39,9.21084024701783,0
3,1,1.5,0,0,4,7,1170,500,98117,47.6878,-122.38,1240,4005,7.4205789054108,78,8.29529885950246,0
2,1.75,1,0,0,4,8,1240,0,98198,47.3813,-122.322,1270,4966,7.12286665859908,32,7.82124208352356,0
4,2.5,2,0,0,4,10,3140,0,98077,47.7304,-122.082,2990,35001,8.0519780789023,26,10.2412803454104,0
5,1.75,2,0,0,4,7,2030,0,98052,47.6417,-122.109,2500,9433,7.61579107203583,75,9.42076335888101,0
4,2.5,2,0,0,3,8,2310,0,98027,47.5386,-122.053,1940,9636,7.74500280351584,33,9.17201525765451,0
3,1.75,1,0,0,5,6,700,560,98103,47.6823,-122.349,1380,3536,7.13886699994552,112,8.1101268019411,0
3,1.75,1,0,0,4,7,1160,380,98038,47.3624,-122.031,1540,11656,7.33953769540767,37,9.44145209293957,0
3,1.75,1,0,2,3,7,1080,1000,98108,47.5474,-122.295,2090,5500,7.64012317269536,46,8.69433468816865,0
4,2.5,2,0,3,3,9,2520,710,98001,47.3183,-122.253,2640,8517,8.0802374162167,16,9.69097479357794,0
3,3.5,2,0,0,3,8,2780,1600,98117,47.6981,-122.368,1830,6350,8.38480400337049,117,8.75621009188674,18
3,3.5,3,0,0,3,8,1590,0,98103,47.6824,-122.347,1620,3166,7.37148929521428,7,7.00488198971286,0
2,1,1,0,0,4,6,880,0,98178,47.5009,-122.248,1190,6780,6.77992190747225,72,8.82173238093444,0
4,2,1,0,0,3,6,1570,0,98168,47.4965,-122.303,1880,9000,7.35883089834235,67,9.16951837745593,0
4,1,1.5,0,0,4,7,1610,0,98144,47.587,-122.294,1610,4040,7.38398945797851,92,8.00034949532468,0
3,2.5,1,0,2,3,8,1560,840,98177,47.7728,-122.386,2340,10856,7.78322401633604,53,8.77554943448619,0
3,2,1,0,0,3,7,1450,0,98034,47.7288,-122.226,1580,9104,7.27931883541462,30,9.11954000764969,0
2,1,1,0,0,3,6,770,0,98117,47.6999,-122.364,1710,6000,6.64639051484773,64,8.69951474821019,0
4,1.75,1.5,0,0,5,7,1720,380,98118,47.5299,-122.266,1850,4400,7.64969262371151,93,8.38935981990635,0
3,2.25,2,0,0,3,9,2910,0,98052,47.6897,-122.098,2700,13992,7.97590836016554,27,9.2305350792617,0
4,2.75,1.5,0,0,3,8,1980,770,98004,47.6141,-122.212,3060,11275,7.91935619066062,103,9.78633556772527,25
3,2.25,1,0,2,3,8,1620,480,98178,47.5091,-122.244,2660,8712,7.64969262371151,50,9.01201137703641,0
4,2.25,1,0,0,3,8,1360,800,98023,47.3129,-122.39,2090,8400,7.67786350067821,39,9.08375621986673,0
5,3.5,2,0,0,5,7,1720,600,98103,47.6763,-122.352,1700,4960,7.74932246466036,91,8.50916101971897,0
4,2.5,2,0,0,3,7,2070,0,98065,47.5319,-121.85,1970,3748,7.63530388625941,13,8.36869318309779,0
3,1.75,1,0,0,4,7,1060,0,98092,47.2761,-122.152,1420,7680,6.96602418710611,31,8.97144846369383,0
4,2.25,1,0,0,3,8,1440,570,98027,47.5343,-122.054,2060,9793,7.60589000105312,31,9.16983082863797,0
3,3.5,1.5,0,0,3,9,2460,1490,98052,47.697,-122.072,2480,88500,8.28147085789517,28,11.6179879362172,0
3,2.5,2,0,0,3,8,1390,620,98029,47.5517,-121.998,1690,1662,7.60589000105312,3,7.73499619402278,0
4,3.5,3,0,0,3,9,2140,0,98107,47.6734,-122.38,1540,2285,7.6685611080159,12,7.73105314400713,0
3,1.75,1,0,0,4,7,1320,0,98003,47.3257,-122.296,1550,19265,7.18538701558042,61,9.76365060734833,0
4,1.75,1,0,0,3,7,1010,1010,98003,47.3309,-122.299,1750,8140,7.61085279039525,49,8.96699411334445,0
4,2.25,1,0,0,4,8,1340,1250,98028,47.7689,-122.266,1550,10436,7.85941315469358,49,9.21054035197885,0
2,1,1,0,0,3,6,1190,0,98125,47.7135,-122.287,1060,5715,7.08170858610557,36,8.39840965542627,0
3,2.25,3,0,0,3,8,1170,0,98107,47.6722,-122.381,1350,1310,7.0647590277918,3,7.13009851012558,0
2,1,1,0,0,3,7,1110,0,98119,47.6338,-122.358,1170,3600,7.01211529430638,92,8.07090608878782,0
5,2.5,1,0,0,4,8,1550,1270,98006,47.5707,-122.128,2820,9375,7.94449216393216,49,9.14580185083861,0
3,1,1,0,0,4,7,1010,600,98058,47.4563,-122.171,1610,8579,7.38398945797851,55,9.05707263557296,0
3,1,1,0,0,4,7,940,120,98133,47.7144,-122.351,1560,7940,6.96602418710611,94,8.99924890168611,0
4,2.25,1,0,0,4,8,1380,650,98006,47.5495,-122.174,2230,8824,7.61579107203583,56,9.04981944514108,0
4,2.5,2,0,0,4,9,3670,0,98077,47.7421,-122.026,2840,87991,8.20794694104862,23,12.66151451511,0
4,1,2,0,0,3,8,2370,180,98109,47.6354,-122.353,2200,4000,7.84384863815247,112,8.29404964010203,0
2,2.5,2,0,0,3,7,2420,0,98027,47.5262,-121.943,1940,193842,7.79152281915073,10,11.0183668136681,0
5,2,1,0,0,4,8,1130,1130,98032,47.3887,-122.286,1360,18000,7.72312009226633,57,9.43348392329039,0
3,1,1,0,0,3,7,980,450,98103,47.6873,-122.336,1450,4599,7.26542972325395,70,8.14757773620177,0
3,2,2,0,0,3,8,1360,0,98103,47.6838,-122.353,1500,3090,7.2152399787301,27,8.03592636989179,0
3,1,1.5,0,0,3,7,1110,0,98107,47.655,-122.359,1420,5000,7.01211529430638,70,8.51719319141624,0
3,1,1,0,0,4,7,1250,0,98003,47.3255,-122.304,1680,8633,7.13089883029635,63,9.01188943325234,0
4,3.25,2,0,3,3,12,3540,1640,98006,47.562,-122.162,3160,9750,8.55256033525353,11,9.89595928611534,0
1,1,1,0,0,3,7,700,0,98115,47.679,-122.3,1010,5100,6.5510803350434,75,8.53699581871242,0
3,1,1,0,0,4,7,1180,0,98058,47.4479,-122.176,1190,7669,7.07326971745971,50,8.94494150776486,0
5,3.5,2,0,0,3,9,2500,1460,98056,47.525,-122.172,2640,13675,8.28399930424853,21,10.136383395293,0
4,2.75,1,0,0,3,8,1620,1020,98023,47.3135,-122.369,1980,7875,7.87853419614036,50,8.9226582995244,0
3,2,1.5,0,0,3,7,1270,0,98022,47.2086,-121.996,1160,7198,7.14677217945264,101,8.88155848863898,4
4,1.75,1,0,0,4,8,1760,0,98059,47.4715,-122.118,1730,11180,7.4730690880322,49,9.32188174670909,0
5,2.25,1,0,0,3,7,1030,1030,98146,47.4877,-122.335,1010,11680,7.63046126178363,55,9.06323150693797,0
3,1.75,1,0,0,3,7,1780,0,98034,47.7171,-122.193,1200,9660,7.48436864328613,55,9.17574892720656,0
3,2.5,2,0,0,3,10,3400,0,98075,47.6012,-122.023,3400,12601,8.13153071060425,17,9.71733868090779,0
3,2.75,1,0,0,3,7,1160,750,98034,47.7319,-122.224,1710,8152,7.55485852104068,38,8.89288614119073,0
3,2,1,0,0,4,7,1010,1010,98027,47.4582,-122.023,2110,36590,7.61085279039525,42,10.5540403354637,0
3,1.75,1,0,0,3,7,1180,400,98034,47.7209,-122.168,1640,7500,7.36518012602101,41,8.85366542803745,0
2,1.75,1,0,0,5,5,700,640,98198,47.408,-122.327,1830,9750,7.20042489294496,68,8.88875674784872,0
4,2.5,2,0,0,3,9,2680,0,98006,47.565,-122.125,2920,4500,7.8935720735049,18,8.41161042884117,0
3,2.5,1,0,0,4,8,1610,1070,98034,47.7028,-122.231,2480,8750,7.8935720735049,38,9.18502256399189,0
3,2,1,0,0,5,7,1370,0,98133,47.7458,-122.331,1770,7288,7.22256601882217,53,9.02833876399315,0
3,1.75,1,0,0,3,7,1560,0,98166,47.4776,-122.337,1070,7920,7.35244110024358,63,9.95227771670556,0
3,1.75,1,0,0,4,7,1670,490,98023,47.3026,-122.374,1930,7350,7.67786350067821,39,8.87346805533363,0
3,1.5,1.5,0,0,3,7,1340,0,98133,47.7658,-122.339,1480,7940,7.20042489294496,62,8.97613587330255,0
4,2.5,2,0,0,3,10,2570,1310,98033,47.6477,-122.182,3740,35230,8.26359043261732,33,10.463189051084,0
4,2.25,2,0,0,4,8,2590,0,98006,47.5619,-122.125,2260,8335,7.85941315469358,37,9.01066917684711,0
3,2.5,2,0,0,3,8,820,300,98122,47.6106,-122.31,1590,1795,7.02108396428914,9,7.00306545878646,0
5,2.75,1,0,0,3,7,1320,650,98144,47.5868,-122.308,1280,2150,7.58578882173203,31,8.59415423255237,0
3,1,1,0,0,3,6,1220,0,98122,47.6101,-122.307,1200,4800,7.1066061377273,116,8.47637119689598,0
3,1.5,1,0,2,4,7,1320,630,98022,47.1976,-121.999,1950,8941,7.57558465155779,42,8.93062646917358,0
2,1,1,0,0,3,7,1060,290,98177,47.7224,-122.358,1540,8280,7.20785987143248,68,9.01432548805023,0
3,2.5,2,0,0,3,7,1670,0,98030,47.3505,-122.179,1670,6183,7.4205789054108,29,8.66509582133973,0
4,3,1.5,0,0,4,7,1680,700,98126,47.5384,-122.376,1410,5375,7.77485576666552,92,8.54188580400661,0
4,3,2,0,0,5,7,2440,0,98034,47.7044,-122.2,2290,9600,7.79975331828725,56,9.16951837745593,0
2,1.5,2,0,0,3,7,1050,0,98038,47.3848,-122.039,1050,3417,6.95654544315157,21,8.1371033896393,0
4,2.75,2,0,0,3,9,2140,990,98052,47.6993,-122.102,2260,9984,8.0487882835342,24,9.50390510758612,0
5,3,1,0,2,4,10,2090,2000,98033,47.6627,-122.188,2540,10270,8.31630024903685,31,9.46109909032337,0
4,1.75,1,0,0,4,8,1100,390,98023,47.3099,-122.379,2190,8910,7.30653139893951,48,9.21034037197618,0
3,2.5,2,0,0,3,8,1900,0,98074,47.62,-122.043,2030,8744,7.54960916515453,30,9.07612302985637,0
4,1,1.5,0,0,4,6,1330,0,98103,47.65,-122.34,1330,4400,7.1929342212158,116,7.78322401633604,0
3,2.25,1,0,0,3,8,1430,800,98052,47.6647,-122.153,2230,9340,7.70975686445416,42,9.21293699782345,0
3,1.75,1,0,0,3,7,1220,430,98034,47.726,-122.191,1540,8400,7.40853056689463,40,9.15693959524907,0
3,1,1,0,0,3,6,1190,0,98058,47.4616,-122.184,1230,7980,7.08170858610557,58,9.08477714900084,0
3,2.5,1,0,0,4,8,2140,0,98040,47.5505,-122.219,2680,10083,7.6685611080159,58,9.19998695989669,0
3,2.5,1,0,0,4,7,1420,760,98133,47.7606,-122.336,1900,7818,7.68708015578313,55,8.9237243977064,0
3,1,1,0,0,3,7,1060,0,98155,47.7481,-122.3,1570,10228,6.96602418710611,69,9.23288433641108,0
3,2.5,2,0,0,3,8,1690,0,98023,47.2779,-122.347,2550,5001,7.43248380791712,14,8.52218073292728,0
4,2,1.5,0,0,5,7,1130,840,98108,47.5511,-122.312,1500,6480,7.58578882173203,97,8.77647578934632,0
3,2.5,2,0,0,3,8,2150,0,98126,47.5488,-122.372,1750,2385,7.67322312112171,10,8.31483217928456,0
3,2.5,2,0,0,3,7,1910,0,98024,47.5385,-121.911,2330,67268,7.55485852104068,20,11.1006018912635,0
3,1.75,1,0,0,4,7,1350,0,98038,47.4058,-121.994,1560,50965,7.20785987143248,48,11.9516512527728,0
3,1,1,0,0,4,6,860,0,98056,47.5093,-122.184,1300,9514,6.75693238924755,74,9.36947859331448,0
3,2.5,2,0,0,3,8,1940,0,98042,47.3777,-122.165,2030,10450,7.57044325205737,23,9.6126003491354,0
3,1,1,0,0,3,7,1010,0,98107,47.675,-122.394,1680,5000,6.9177056098353,65,8.51719319141624,0
3,1.5,1,0,0,4,7,900,400,98023,47.3025,-122.37,1430,7500,7.17011954344963,41,8.90517298518338,0
3,1,1,0,0,4,6,910,0,98059,47.4787,-122.158,1400,8040,6.8134445995109,55,9.04192172035122,0
4,1.75,1,0,0,4,9,1630,850,98040,47.5378,-122.219,2770,10744,7.81601383915903,51,9.30655922971673,0
3,2.5,2,0,0,3,8,2440,0,98052,47.7073,-122.114,2750,4587,7.79975331828725,7,8.43098149459717,0
3,1,1,0,0,3,7,1010,0,98116,47.5733,-122.381,1290,5000,6.9177056098353,102,8.67658724356649,0
2,0.75,1,0,0,3,6,900,0,98166,47.4604,-122.339,1250,14280,6.80239476332431,76,9.16951837745593,0
6,3,2,0,0,3,7,1600,700,98133,47.7067,-122.343,1560,1312,7.74066440191724,97,8.13270648969326,23
4,2.25,2,0,0,3,8,1550,0,98038,47.354,-122.047,1630,6397,7.34601020991329,24,8.93313654381203,0
3,2.25,2,0,0,3,8,1060,210,98105,47.6647,-122.284,1160,1327,7.14677217945264,3,7.35627987655075,0
4,2.5,1,0,0,3,9,2240,0,98074,47.6143,-122.017,2520,12368,7.71423114484909,34,9.39532504618962,0
3,2.5,2,0,0,3,9,2714,0,98001,47.3185,-122.275,2590,18386,7.90617884039481,12,9.79456514531194,0
4,2.75,2,0,0,3,8,1720,0,98118,47.5458,-122.268,2130,8700,7.4500795698075,39,8.74353163362697,0
2,1,1,0,0,3,6,850,0,98168,47.4889,-122.299,1100,14459,6.74523634948436,94,9.70503661381229,0
5,3,1,0,3,3,9,1870,1430,98040,47.5673,-122.21,3836,20953,8.10167774745457,60,10.4185242970736,26
3,2.5,2,0,0,3,8,2250,0,98146,47.5133,-122.379,1320,5390,7.71868549519847,17,8.64681695920974,0
2,2.25,1,0,3,3,8,1950,1950,98144,47.5884,-122.291,2580,5184,8.26873183211774,70,9.60669746105362,0
2,1.5,1,0,0,4,8,1320,0,98177,47.7145,-122.367,2120,12040,7.18538701558042,70,9.28730141311231,0
4,2.5,2,0,0,3,10,2760,0,98075,47.5836,-122.026,3070,8127,7.9229859587112,18,8.7702838190984,0
3,2,1,0,0,3,7,1350,400,98198,47.398,-122.299,1900,10125,7.46737106691756,56,9.18502256399189,0
4,2.25,2,0,0,3,8,2330,0,98011,47.7663,-122.215,1910,10055,7.75362354655975,30,9.87488229552579,0
3,2.25,1,0,0,4,8,1780,440,98030,47.3758,-122.217,2080,9583,7.70526247486633,51,9.68159322062235,0
3,2.25,2,0,0,3,7,2020,0,98038,47.3828,-122.023,2020,8031,7.61085279039525,23,9.03348385461329,0
3,2.25,1,0,0,5,7,1250,0,98146,47.5123,-122.373,1280,7392,7.13089883029635,75,8.9226582995244,0
2,2,1,0,0,3,8,1510,0,98053,47.7076,-122.013,1640,6009,7.31986492980897,12,8.78201596972194,0
4,2.25,1,0,0,4,7,1120,600,98023,47.2922,-122.371,1510,9753,7.4500795698075,39,9.18533020897202,0
3,1,1,0,0,4,7,980,450,98031,47.4075,-122.214,1960,13068,7.26542972325395,56,9.63207245254822,0
3,2.5,2,0,0,3,7,1480,0,98053,47.6794,-122.034,2250,4729,7.29979736675816,13,8.46146904264388,0
2,1.75,2,1,4,3,7,1230,220,98166,47.4497,-122.375,2030,13193,7.27931883541462,102,9.66763862872437,39
4,2.75,1,0,0,5,7,2280,0,98059,47.5218,-122.164,2280,15347,7.73193072194849,57,9.63867529417509,0
